ConfirmationID,TradeRef,ISIN_Code,Scrip,Qty,Rate,TradeDay,SettleDay,Cycle,BrokerCode,BrokerName,Exchange_Code,Side,CCY,DP_ID,DP_Account
BC-TRD-00000,TRD-00000,INE140A01024,BANK_OF_BARODA,175,238.5594,01-Jun-2026,02-Jun-2026,T1,BRK-005,Motilal Oswal Securities,BSE,B,INR,IN301774,56789012
BC-TRD-00001,TRD-00001,INE205A01025,SIEMENS,75,6446.4178,01-Jun-2026,02-Jun-2026,T1,BRK-005,Motilal Oswal Securities,NSE,B,INR,IN301774,56789012
BC-TRD-00002,TRD-00002,INE040A01034,HDFC_BANK,140,1706.8410,01-Jun-2026,02-Jun-2026,T1,BRK-002,ICICI Securities,NSE,B,INR,IN301549,23456789
BC-TRD-00003,TRD-00003,INE140A01024,BANK_OF_BARODA,1800,271.6933,01-Jun-2026,01-Jun-2026,T0,BRK-004,Kotak Securities,NSE,B,INR,IN300757,45678901
BC-TRD-00004,TRD-00004,INE205A01025,SIEMENS,50,6263.3442,01-Jun-2026,01-Jun-2026,T0,BRK-006,Axis Securities,BSE,S,INR,IN302679,67890123
BC-TRD-00005,TRD-00005,INE528G01035,SHRIRAM_FINANCE,20,2736.2726,01-Jun-2026,01-Jun-2026,T0,BRK-001,Zerodha Securities,BSE,S,INR,IN300513,12345678
BC-TRD-00006,TRD-00006,INE154A01025,ITC,800,487.3744,01-Jun-2026,02-Jun-2026,T1,BRK-005,Motilal Oswal Securities,NSE,B,INR,IN301774,56789012
BC-TRD-00007,TRD-00007,INE576I01022,GRINDWELL_NORTON,350,2100.9178,01-Jun-2026,02-Jun-2026,T1,BRK-003,HDFC Securities,NSE,S,INR,IN300484,34567890
BC-TRD-00008,TRD-00008,INE160A01022,NESTLE_INDIA,5500,2478.7055,01-Jun-2026,01-Jun-2026,T0,BRK-001,Zerodha Securities,BSE,S,INR,IN300513,12345678
BC-TRD-00009,TRD-00009,INE148I01020,POLICYBAZAAR_(PB_FIN,90,1663.9463,01-Jun-2026,02-Jun-2026,T1,BRK-003,HDFC Securities,NSE,B,INR,IN300484,34567890
BC-TRD-00010,TRD-00010,INE726G01019,TRENT,300,5550.5477,01-Jun-2026,02-Jun-2026,T1,BRK-005,Motilal Oswal Securities,NSE,S,INR,IN301774,56789012
BC-TRD-00011,TRD-00011,INE795G01014,POWER_GRID_CORPORATI,25,303.2233,01-Jun-2026,02-Jun-2026,T1,BRK-001,Zerodha Securities,NSE,S,INR,IN300513,12345678
BC-TRD-00012,TRD-00012,INE03YQ01011,CLEAN_SCIENCE_&_TECH,500,1401.2075,01-Jun-2026,02-Jun-2026,T1,BRK-003,HDFC Securities,NSE,B,INR,IN300484,34567890
BC-TRD-00013,TRD-00013,INE550C01020,TV_TODAY_NETWORK,4500,234.3202,01-Jun-2026,02-Jun-2026,T1,BRK-001,Zerodha Securities,NSE,S,INR,IN300513,12345678
BC-TRD-00014,TRD-00014,INE059B01024,RAIN_INDUSTRIES,1,135.0100,01-Jun-2026,02-Jun-2026,T1,BRK-002,ICICI Securities,BSE,S,INR,IN301549,23456789
BC-TRD-00015,TRD-00015,INE160A01022,NESTLE_INDIA,4,2222.5732,01-Jun-2026,02-Jun-2026,T1,BRK-002,ICICI Securities,NSE,S,INR,IN301549,23456789
BC-TRD-00016,TRD-00016,INE009A01021,INFOSYS,1000,1458.3658,01-Jun-2026,02-Jun-2026,T1,BRK-003,HDFC Securities,BSE,B,INR,IN300484,34567890
BC-TRD-00017,TRD-00017,INE726G01019,TRENT,1800,5907.3078,01-Jun-2026,02-Jun-2026,T1,BRK-004,Kotak Securities,NSE,B,INR,IN300757,45678901
BC-TRD-00018,TRD-00018,INE528G01035,SHRIRAM_FINANCE,60,2708.4957,01-Jun-2026,02-Jun-2026,T1,BRK-001,Zerodha Securities,NSE,B,INR,IN300513,12345678
BC-TRD-00019,TRD-00019,INE528G01035,SHRIRAM_FINANCE,225,2455.7192,01-Jun-2026,02-Jun-2026,T1,BRK-001,Zerodha Securities,BSE,S,INR,IN300513,12345678
BC-TRD-00020,TRD-00020,INE009A01021,INFOSYS,1000,1614.1073,01-Jun-2026,01-Jun-2026,T0,BRK-002,ICICI Securities,BSE,S,INR,IN301549,23456789
BC-TRD-00021,TRD-00021,INE467B01029,TATA_CONSULTANCY_SER,45,3558.0158,01-Jun-2026,02-Jun-2026,T1,BRK-005,Motilal Oswal Securities,NSE,S,INR,IN301774,56789012
BC-TRD-00022,TRD-00022,INE550C01020,TV_TODAY_NETWORK,4,232.6223,01-Jun-2026,02-Jun-2026,T1,BRK-003,HDFC Securities,NSE,S,INR,IN300484,34567890
BC-TRD-00023,TRD-00023,INE03VK01010,CARTRADE_TECH,4,627.5543,01-Jun-2026,02-Jun-2026,T1,BRK-003,HDFC Securities,NSE,S,INR,IN300484,34567890
BC-TRD-00024,TRD-00024,INE129A01019,GAIL_(INDIA),3800,181.6528,01-Jun-2026,02-Jun-2026,T1,BRK-001,Zerodha Securities,BSE,B,INR,IN300513,12345678
BC-TRD-00025,TRD-00025,INE205A01025,SIEMENS,1400,5855.9790,01-Jun-2026,02-Jun-2026,T1,BRK-003,HDFC Securities,NSE,B,INR,IN301484,34568890
BC-TRD-00026,TRD-00026,INE795G01014,POWER_GRID_CORPORATI,70,311.0223,01-Jun-2026,02-Jun-2026,T1,BRK-005,Motilal Oswal Securities,BSE,S,INR,IN301774,56789012
BC-TRD-00027,TRD-00027,INE528G01035,SHRIRAM_FINANCE,3855,2691.8038,01-Jun-2026,02-Jun-2026,T1,BRK-003,HDFC Securities,NSE,S,INR,IN300484,34567890
BC-TRD-00028,TRD-00028,INE550C01020,TV_TODAY_NETWORK,3000,219.5310,01-Jun-2026,02-Jun-2026,T1,BRK-003,HDFC Securities,NSE,B,INR,IN300484,34567890
BC-TRD-00029,TRD-00029,INE576I01022,GRINDWELL_NORTON,40,2101.8387,01-Jun-2026,02-Jun-2026,T1,BRK-002,ICICI Securities,NSE,S,INR,IN301549,23456789
BC-TRD-00030,TRD-00030,INE018A01030,LARSEN_&_TOUBRO,10000,3597.4082,01-Jun-2026,01-Jun-2026,T0,BRK-001,Zerodha Securities,NSE,B,INR,IN300513,12345678
BC-TRD-00031,TRD-00031,INE092T01019,ZOMATO,3200,229.9826,01-Jun-2026,02-Jun-2026,T1,BRK-002,ICICI Securities,NSE,B,INR,IN301549,23456789
BC-TRD-00032,TRD-00032,INE104S01021,UJJIVAN_SFB,70,41.0638,01-Jun-2026,02-Jun-2026,T1,BRK-005,Motilal Oswal Securities,NSE,B,INR,IN301774,56789012
BC-TRD-00033,TRD-00033,INE040A01034,HDFC_BANK,2500,1776.3117,01-Jun-2026,02-Jun-2026,T1,BRK-005,Motilal Oswal Securities,NSE,B,INR,IN301774,56789012
BC-TRD-00034,TRD-00034,INE148O01018,EID_PARRY_(INDIA),10000,755.9508,01-Jun-2026,02-Jun-2026,T1,BRK-005,Motilal Oswal Securities,NSE,S,INR,IN301774,56789012
BC-TRD-00035,TRD-00035,INE03YQ01011,CLEAN_SCIENCE_&_TECH,160,1362.5174,01-Jun-2026,02-Jun-2026,T1,BRK-002,ICICI Securities,NSE,S,INR,IN301549,23456789
BC-TRD-00036,TRD-00036,INE059B01024,RAIN_INDUSTRIES,225,139.7943,01-Jun-2026,02-Jun-2026,T1,BRK-003,HDFC Securities,BSE,S,INR,IN300484,34567890
BC-TRD-00037,TRD-00037,INE238A01034,AXIS_BANK,50,1084.6892,01-Jun-2026,02-Jun-2026,T1,BRK-002,ICICI Securities,BSE,B,INR,IN301549,23456789
BC-TRD-00038,TRD-00038,INE019A01038,WIPRO,7000,444.3586,01-Jun-2026,02-Jun-2026,T1,BRK-004,Kotak Securities,NSE,S,INR,IN300757,45678901
BC-TRD-00039,TRD-00039,INE361B01024,CANARA_BANK,500,116.6831,01-Jun-2026,02-Jun-2026,T1,BRK-003,HDFC Securities,NSE,S,INR,IN300484,34567890
BC-TRD-00040,TRD-00040,INE259A01022,GODREJ_CONSUMER_PROD,400,1243.8843,01-Jun-2026,02-Jun-2026,T1,BRK-004,Kotak Securities,NSE,S,INR,IN300757,45678901
BC-TRD-00041,TRD-00041,INE467B01029,TATA_CONSULTANCY_SER,150,3813.7937,01-Jun-2026,02-Jun-2026,T1,BRK-006,Axis Securities,BSE,S,INR,IN302679,67890123
BC-TRD-00042,TRD-00042,INE467B01029,TATA_CONSULTANCY_SER,70,3461.0648,01-Jun-2026,02-Jun-2026,T1,BRK-005,Motilal Oswal Securities,BSE,B,INR,IN301774,56789012
BC-TRD-00043,TRD-00043,INE160A01022,NESTLE_INDIA,1100,2428.3689,02-Jun-2026,03-Jun-2026,T1,BRK-005,Motilal Oswal Securities,BSE,S,INR,IN301774,56789012
BC-TRD-00044,TRD-00044,INE044A01036,DABUR_INDIA,500,608.6114,02-Jun-2026,02-Jun-2026,T0,BRK-001,Zerodha Securities,BSE,B,INR,IN300513,12345678
BC-TRD-00045,TRD-00045,INE044A01036,DABUR_INDIA,20,552.1906,02-Jun-2026,03-Jun-2026,T1,BRK-002,ICICI Securities,NSE,B,INR,IN301549,23456789
BC-TRD-00046,TRD-00046,INE576I01022,GRINDWELL_NORTON,334,2109.8395,02-Jun-2026,03-Jun-2026,T1,BRK-003,HDFC Securities,NSE,B,INR,IN300484,34567890
BC-TRD-00047,TRD-00047,INE795G01014,POWER_GRID_CORPORATI,2600,337.0735,02-Jun-2026,03-Jun-2026,T1,BRK-002,ICICI Securities,NSE,S,INR,IN301549,23456789
BC-TRD-00048,TRD-00048,INE03VK01010,CARTRADE_TECH,50,660.5381,02-Jun-2026,03-Jun-2026,T1,BRK-005,Motilal Oswal Securities,NSE,B,INR,IN301774,56789012
BC-TRD-00049,TRD-00049,INE062A01020,STATE_BANK_OF_INDIA,300,825.5365,02-Jun-2026,03-Jun-2026,T1,BRK-003,HDFC Securities,NSE,S,INR,IN300484,34567890
BC-TRD-00050,TRD-00050,INE092T01019,ZOMATO,2400,241.7793,02-Jun-2026,03-Jun-2026,T1,BRK-004,Kotak Securities,NSE,B,INR,IN300757,45678901
BC-TRD-00051,TRD-00051,INE176A01028,BAJAJ_FINANCE,7500,7104.9021,02-Jun-2026,02-Jun-2026,T0,BRK-006,Axis Securities,BSE,S,INR,IN302679,67890123
BC-TRD-00052,TRD-00052,INE129A01019,GAIL_(INDIA),750,183.5352,02-Jun-2026,03-Jun-2026,T1,BRK-004,Kotak Securities,NSE,B,INR,IN300757,45678901
BC-TRD-00053,TRD-00053,INE761H01022,AFFLE_(INDIA),100,1148.8613,02-Jun-2026,03-Jun-2026,T1,BRK-003,HDFC Securities,NSE,S,INR,IN300484,34567890
BC-TRD-00054,TRD-00054,INE545U01014,NAZARA_TECHNOLOGIES,900,807.8576,02-Jun-2026,03-Jun-2026,T1,BRK-005,Motilal Oswal Securities,NSE,B,INR,IN301774,56789012
BC-TRD-00055,TRD-00055,INE238A01034,AXIS_BANK,40,1158.0112,02-Jun-2026,03-Jun-2026,T1,BRK-004,Kotak Securities,NSE,B,INR,IN300757,45678901
