holding_id,counterparty_id,isin,security_name,quantity,statement_date,source
57a362cc-42a4-4ba6-9e40-875cf06f5cac,CUS-004,INE140A01024,BANK OF BARODA,1800,2026-06-01,CUSTODIAN_EOD_STATEMENT
2e21f927-5dc3-45d6-ad68-677b0203834b,CUS-001,INE205A01025,SIEMENS,-50,2026-06-01,CUSTODIAN_EOD_STATEMENT
796c4efa-93be-430e-8a7d-5de14123b3a7,CUS-001,INE528G01035,SHRIRAM FINANCE,-20,2026-06-01,CUSTODIAN_EOD_STATEMENT
bb0596e4-a096-4be5-92e3-96083edfdc5e,CUS-001,INE160A01022,NESTLE INDIA,-5500,2026-06-01,CUSTODIAN_EOD_STATEMENT
3d2d2d50-2162-498a-bb5b-4ce5ea339cf4,CUS-002,INE009A01021,INFOSYS,-1000,2026-06-01,CUSTODIAN_EOD_STATEMENT
3bc2eb57-cbfb-4d8c-8855-9b993230ee7d,CUS-001,INE018A01030,LARSEN & TOUBRO,10000,2026-06-01,CUSTODIAN_EOD_STATEMENT
46acf65d-8e18-4466-ad14-51ad1a7a861a,CUS-004,INE140A01024,BANK OF BARODA,1800,2026-06-02,CUSTODIAN_EOD_STATEMENT
7a5e0251-5d8f-4f35-8555-2cb22df982a8,CUS-001,INE205A01025,SIEMENS,-50,2026-06-02,CUSTODIAN_EOD_STATEMENT
6820a5e3-e7db-4fd0-9792-b1fb79cd7383,CUS-001,INE528G01035,SHRIRAM FINANCE,-185,2026-06-02,CUSTODIAN_EOD_STATEMENT
c3761b63-0b76-4811-8a4a-33a52aad2844,CUS-001,INE160A01022,NESTLE INDIA,-5500,2026-06-02,CUSTODIAN_EOD_STATEMENT
fdc0c694-8435-4b6a-828c-6a54fef10f92,CUS-002,INE009A01021,INFOSYS,-1000,2026-06-02,CUSTODIAN_EOD_STATEMENT
6745dd9b-009d-4fa4-815a-a11c82b74ca9,CUS-001,INE018A01030,LARSEN & TOUBRO,10000,2026-06-02,CUSTODIAN_EOD_STATEMENT
6973fd3a-9697-4709-b340-9ba294120b65,CUS-005,INE140A01024,BANK OF BARODA,175,2026-06-02,CUSTODIAN_EOD_STATEMENT
c8b317ec-68e6-4e08-9f87-c48cfd6bc8c7,CUS-005,INE205A01025,SIEMENS,75,2026-06-02,CUSTODIAN_EOD_STATEMENT
