stmt_ref,original_trade_ref,isin,security_desc,qty,exec_price,trade_dt,settle_dt,cycle,custodian_code,custodian_name,exch,direction,ccy
CS-TRD-00000,TRD-00000,INE140A01024,BANK OF BARODA,175,238.5594,2026-06-01,2026-06-02,T1,CUS-002,HSBC Custody & Clearing,BSE,BUY,INR
CS-TRD-00001,TRD-00001,INE205A01025,SIEMENS,75,6446.4178,2026-06-01,2026-06-02,T1,CUS-001,Deutsche Bank Custodial Services,NSE,BUY,INR
CS-TRD-00002,TRD-00002,INE040A01034,HDFC BANK,140,1706.8410,2026-06-01,2026-06-02,T1,BC-002,JP Morgan India Custody,NSE,BUY,INR
CS-TRD-00003,TRD-00003,INE140A01024,BANK OF BARODA,1800,271.6933,2026-06-01,2026-06-01,T0,CUS-003,Standard Chartered Custody,NSE,BUY,INR
CS-TRD-00004,TRD-00004,INE205A01025,SIEMENS,50,6263.3442,2026-06-01,2026-06-01,T0,CUS-001,Deutsche Bank Custodial Services,BSE,SELL,INR
CS-TRD-00005,TRD-00005,INE528G01035,SHRIRAM FINANCE,20,2736.2726,2026-06-01,2026-06-01,T0,CUS-002,HSBC Custody & Clearing,BSE,SELL,INR
CS-TRD-00006,TRD-00006,INE154A01025,ITC,800,466.3991,2026-06-01,2026-06-02,T1,CUS-002,HSBC Custody & Clearing,NSE,BUY,INR
CS-TRD-00007,TRD-00007,INE576I01022,GRINDWELL NORTON,350,2100.9178,2026-06-01,2026-06-02,T1,CUS-002,HSBC Custody & Clearing,NSE,SELL,INR
CS-TRD-00008,TRD-00008,INE160A01022,NESTLE INDIA,5500,2478.7055,2026-06-01,2026-06-01,T0,CUS-001,Deutsche Bank Custodial Services,BSE,SELL,INR
CS-TRD-00009,TRD-00009,INE148I01020,POLICYBAZAAR (PB FINTECH),90,1663.9463,2026-06-01,2026-06-02,T1,CUS-002,HSBC Custody & Clearing,NSE,BUY,INR
CS-TRD-00010,TRD-00010,INE726G01019,TRENT,300,5550.5477,2026-06-01,2026-06-02,T1,BC-001,SBI Cap Securities (Custodian),NSE,SELL,INR
CS-TRD-00011,TRD-00011,INE795G01014,POWER GRID CORPORATION,25,303.2233,2026-06-01,2026-06-02,T1,BC-001,SBI Cap Securities (Custodian),NSE,SELL,INR
CS-TRD-00012,TRD-00012,INE03YQ01011,CLEAN SCIENCE & TECHNOLOGY,500,1401.2075,2026-06-01,2026-06-02,T1,CUS-002,HSBC Custody & Clearing,NSE,BUY,INR
CS-TRD-00013,TRD-00013,INE550C01020,TV TODAY NETWORK,4500,234.3202,2026-06-01,2026-06-02,T1,CUS-001,Deutsche Bank Custodial Services,NSE,SELL,INR
CS-TRD-00014,TRD-00014,INE059B01024,RAIN INDUSTRIES,1,135.0100,2026-06-01,2026-06-02,T1,BC-002,JP Morgan India Custody,BSE,SELL,INR
CS-TRD-00015,TRD-00015,INE160A01022,NESTLE INDIA,4,2222.5732,2026-06-01,2026-06-02,T1,CUS-005,BNP Paribas Custody,NSE,SELL,INR
CS-TRD-00016,TRD-00016,INE009A01021,INFOSYS,1000,1458.3658,2026-06-01,2026-06-02,T1,CUS-001,Deutsche Bank Custodial Services,BSE,BUY,INR
CS-TRD-00017,TRD-00017,INE726G01019,TRENT,1800,5907.3078,2026-06-01,2026-06-02,T1,CUS-005,BNP Paribas Custody,NSE,BUY,INR
