trade_id,isin,security_name,quantity,price,trade_date,settlement_date,settlement_cycle,counterparty_id,counterparty_type,exchange,buy_sell,currency,source_system,segment
TRD-00000,INE140A01024,BANK OF BARODA,175,238.5594,2026-06-01,2026-06-02,T1,BRK-005,BROKER,BSE,BUY,INR,OMS,NORMAL
TRD-00001,INE205A01025,SIEMENS,75,6446.4178,2026-06-01,2026-06-02,T1,BRK-005,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00002,INE040A01034,HDFC BANK,140,1706.8410,2026-06-01,2026-06-02,T1,BRK-002,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00003,INE140A01024,BANK OF BARODA,1800,271.6933,2026-06-01,2026-06-01,T0,BRK-004,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00004,INE205A01025,SIEMENS,50,6263.3442,2026-06-01,2026-06-01,T0,BRK-006,BROKER,BSE,SELL,INR,OMS,NORMAL
TRD-00005,INE528G01035,SHRIRAM FINANCE,20,2736.2726,2026-06-01,2026-06-01,T0,BRK-001,BROKER,BSE,SELL,INR,OMS,NORMAL
TRD-00006,INE154A01025,ITC,800,477.0798,2026-06-01,2026-06-02,T1,BRK-005,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00007,INE576I01022,GRINDWELL NORTON,350,2100.9178,2026-06-01,2026-06-02,T1,BRK-003,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00008,INE160A01022,NESTLE INDIA,5500,2478.7055,2026-06-01,2026-06-01,T0,BRK-001,BROKER,BSE,SELL,INR,OMS,NORMAL
TRD-00009,INE148I01020,POLICYBAZAAR (PB FINTECH),90,1663.9463,2026-06-01,2026-06-02,T1,BRK-003,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00010,INE726G01019,TRENT,300,5550.5477,2026-06-01,2026-06-02,T1,BRK-005,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00011,INE795G01014,POWER GRID CORPORATION,25,303.2233,2026-06-01,2026-06-02,T1,BRK-001,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00012,INE03YQ01011,CLEAN SCIENCE & TECHNOLOGY,500,1401.2075,2026-06-01,2026-06-02,T1,BRK-003,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00013,INE550C01020,TV TODAY NETWORK,4500,234.3202,2026-06-01,2026-06-02,T1,BRK-001,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00014,INE059B01024,RAIN INDUSTRIES,1,135.0100,2026-06-01,2026-06-02,T1,BRK-002,BROKER,BSE,SELL,INR,OMS,NORMAL
TRD-00015,INE160A01022,NESTLE INDIA,4,2222.5732,2026-06-01,2026-06-02,T1,BRK-002,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00016,INE009A01021,INFOSYS,1000,1458.3658,2026-06-01,2026-06-02,T1,BRK-003,BROKER,BSE,BUY,INR,OMS,NORMAL
TRD-00017,INE726G01019,TRENT,1800,5907.3078,2026-06-01,2026-06-02,T1,BRK-004,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00018,INE528G01035,SHRIRAM FINANCE,60,2708.4957,2026-06-01,2026-06-02,T1,BRK-001,BROKER,NSE,BUY,INR,OMS,NORMAL
